# lawmax-phase1-evidence-ledger/1
# source_commit	e621dbe1d00f3a18039b63fc0dfc3ff08ce21a03
# source_tree	23b7a6f4450f50d151d38e13020bee9872e73bcd
# historical_baseline	57c0cd868c80f87df8e298c9aa75b8ccf2503391
# corroboration_commit	2b910271f11fc462eee1378fb9a77623c791fcbf
# generated_at_utc	2026-08-26T00:36:43Z
# rows	104
# evidence_classes	MECHANICALLY-PROVED=73; EMPIRICALLY-REPRODUCED=2; SOURCE-GROUNDED-INFERENCE=23; UNRESOLVED=6
# provenance	claude-p1a-corrected=2; claude-p1a-validated=11; deepseek-corrected=1; deepseek-invalidated=1; deepseek-retained=5; newly-established=84
# unresolved_rows	6
# self_sha256_convention	sha256 of this file with the 64 hex characters after '# self_sha256\t' replaced by 64 zeros
# self_sha256	6e14a2d5137696db2371abd0ca668efd40de7bff62ad85e6cc96ac045ec7e197
#
id	evidence_class	provenance	path	line_start	line_end	blob_sha1	claim	method
EV-A-001	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/CURRENT-SYSTEM-MAP.md				Admitted DeepSeek artifact hash equals the required identity 11a2e06a7b85cafa3dcd29b384c2e22b235dd253b28ab29b23bb3b9d97dbcb54.	sha256sum of the file in the historical workspace compared to the instruction's required hash
EV-A-002	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/CURRENT-SYSTEM-EVIDENCE.json				Admitted DeepSeek artifact hash equals 689dc8c35877ca9f34b9aaab0680019aa40db6ca09aadcc98216da0b0be38c90.	sha256sum comparison
EV-A-003	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/CAPABILITY-INVENTORY.json				Admitted DeepSeek artifact hash equals 8517dbb50a475d0e002b837631f0324ca33e4988e646821f0798687e288e9068.	sha256sum comparison
EV-A-004	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/TRUST-AND-WRITER-SEATS.json				Admitted DeepSeek artifact hash equals 141aa0d1b727f35e736fc429f2e889484d0aa40e5cda84ac624e01908f30aaf4.	sha256sum comparison
EV-A-005	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/WORKING-MEMORY.md				Admitted DeepSeek artifact hash equals 4437358a668a6b2e8235fef5dd3b73d89d997a8c8362e76f86425383e67dc871.	sha256sum comparison
EV-A-006	MECHANICALLY-PROVED	newly-established	<external>/full/state/seals/phase-1.json				Real-provider Phase-1 seal_sha256 = cbcc70ee9b15939b04d9e363dfe05696ec5836b686660b7bdce246699d0dc9f3; expected_commit = 57c0cd86...; read_required_total = 1000; citations_checked = 536; coverage_complete_enumeration/reading/chunks all true.	direct read of the sealed phase-1 seal record
EV-A-007	MECHANICALLY-PROVED	newly-established	<external>/full/state/FINAL-SEAL.json				study_id = lawmax-omega-max-deepseek-v4-v2-full; final seal_sha256 = bba20ec17d471809362bc65aa6dfd2b6668f02e717b18011e70892089466b9c4; turnstore_manifest.root_sha256 = c7449b0fdb69fde45ef49a38a6b611e0ad5fb6eb13641b1625e043f0f7eece11; corpus_root_sha256 = d62ab7bdd46bd8bd8657c025897b7f533b3b0bbbb5050a11aa390be477e2e5c8.	direct read; all four values equal the instruction's required identities
EV-A-008	MECHANICALLY-PROVED	newly-established	<external>/full/state/evidence/phase-1.jsonl				Phase-1 evidence ledger has exactly 5,372 lines and sha256 7c9f19421af789b7c6fdc1b429844f8477d8e59594ac7a654893bbf3addccaf8, which equals the evidence_ledger_sha256 bound in the admitted seal.	wc -l and sha256sum, compared with the seal field
EV-A-009	MECHANICALLY-PROVED	newly-established	<external>/full/state/tool-receipts/phase-1				Phase-1 tool receipts number exactly 5,378, matching the required historical coverage figure.	directory entry count
EV-A-010	MECHANICALLY-PROVED	newly-established	<external>/full/state				The string 'grounded-comprehension' occurs nowhere in the historical study's state or output trees; grounded-comprehension-v3 is therefore NOT_CLAIMED, as the instruction requires.	recursive grep over state/ and output/ excluding sqlite databases
EV-I-001	MECHANICALLY-PROVED	newly-established	<repo>				Source checkout identity verified: path C:\THE-LEGAL-WATCHTOWER-NO-HOOKS, HEAD = e621dbe1d00f3a18039b63fc0dfc3ff08ce21a03, tree = 23b7a6f4450f50d151d38e13020bee9872e73bcd, `git status --porcelain` empty.	git rev-parse HEAD / HEAD^{tree}; git status --porcelain
EV-I-002	MECHANICALLY-PROVED	newly-established	<repo>				The target commit tracks exactly 35,640 path entries: 35,559 regular files, 75 executable files, 6 symlinks.	git ls-tree -r -l --full-tree with core.quotePath=false; mode histogram
EV-I-003	MECHANICALLY-PROVED	newly-established	<repo>				Classification of all 35,640 tracked paths leaves zero unclassified: generated_state_data 31,065; vendored_dependency 3,307; test_proof 390; first_party_source 346; documentation 262; binary_enumeration_only 196; configuration_contract 74.	deterministic rule-based classifier over the full tree listing; residual paths individually inspected
EV-I-004	MECHANICALLY-PROVED	newly-established	<repo>				The six tracked symlinks are exactly output/<corpus>/releases/latest for the six corpora; each points at a sha256-<hex> sibling directory.	mode 120000 filter over the tree plus git show of each blob
EV-I-005	MECHANICALLY-PROVED	deepseek-retained	<repo>				source/ contains exactly 133 files, all .lisp — unchanged from the historical target 57c0cd86.	path count at both commits
